id,code,name
414,321210,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi
415,321220,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale
416,321301,Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi)
417,321309,Fabbricazione di bigiotteria e articoli simili nca
418,322000,Fabbricazione di strumenti musicali (incluse parti e accessori)
419,323000,Fabbricazione di articoli sportivi
420,324010,Fabbricazione di giochi (inclusi i giochi elettronici)
421,324020,Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo)
422,325011,Fabbricazione di materiale medico-chirurgico e veterinario
423,325012,Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori)
424,325013,"Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario"
425,325014,Fabbricazione di centrifughe per laboratori
426,325020,Fabbricazione di protesi dentarie (inclusa riparazione)
427,325030,"Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)"
428,325040,Fabbricazione di lenti oftalmiche
429,325050,Fabbricazione di armature per occhiali di qualsiasi tipo
430,329100,Fabbricazione di scope e spazzole
431,329911,Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza
432,329912,Fabbricazione di articoli in plastica per la sicurezza personale
433,329913,Fabbricazione di articoli in metallo per la sicurezza personale
434,329914,Fabbricazione di maschere antigas
435,329919,Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza
436,329920,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini"
437,329930,Fabbricazione di oggetti di cancelleria
438,329940,Fabbricazione di casse funebri
439,329990,Fabbricazione di altri articoli nca
440,331101,"Riparazione e manutenzione di stampi, portastampi, sagome, forme per macchine"
441,331102,Riparazione e manutenzione di utensileria ad azionamento manuale
442,331103,"Riparazione e manutenzione di armi, sistemi d'arma e munizioni"
443,331104,"Riparazione e manutenzione di casseforti, forzieri, porte metalliche blindate"
444,331105,Riparazione e manutenzione di armi bianche
445,331106,Riparazione e manutenzione di container
446,331107,Riparazione e manutenzione di carrelli per la spesa
447,331109,Riparazione e manutenzione di altri prodotti in metallo
448,331210,Riparazione e manutenzione di macchine di impiego generale
449,331220,"Riparazione e manutenzione di forni, fornaci e bruciatori"
450,331230,Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori)
451,331240,Riparazione e manutenzione di attrezzature di uso non domestico per la refrigerazione e la ventilazione
452,331251,"Riparazione e manutenzione di macchine ed attrezzature per ufficio (esclusi computer, periferiche, fax)"
453,331252,Riparazione e manutenzione di bilance e macchine automatiche per la vendita e la distribuzione
