no_import,default_code,supplier_product_code,COD.ART.PROD.,name,GIAC.,GIAC.MIN.,IMP.,ORD.,PREAS.,U.M.,PRZ.LISTINO,SC. L.1,SC. L.2,SC. L.3,supplier_cost,ALTRI FORN.,RIC. 1,price,IVA,supplier_name,GRUPPO MERCEOLOGICO,MARCA,COD.SC.PROD.,SIGLA PROD.,COD.PROD.,PRODUTTORE,POS.MAG.,MOV.,COD.REP.,REPARTO,COD.SET.,SETTORE,COD.FAM.,FAMIGLIA,LINEA,COD.BARRE,COD.RAGGRUP.,E.C.,DATA INS
,1690,5043-12N,,"FISSATUBO POLIAMMIDE AD 12X15,8",0,0,0,0,0,N.,68037,0,0,0,68037,,30,"88448,1",22,EDIF SPA,,,0,,0,,,S,,,,,,,,,,,12/08/2011
,1691,5043-17N,,"FISSATUBO POLIAMMIDE AD 17X21,2",0,0,0,0,0,N.,"0,43945",0,0,0,"0,43945",,30,"0,57129",22,EDIF SPA,,,0,,0,,,S,,,,,,,,,,,12/08/2011
,3593,63250131,,FIV MANICOTTO RID. 40X32,0,0,0,0,0,N.,"9,97",0,0,0,"9,97",,30,"12,961",22,COMAIT SRL,,,0,,0,,,S,,,,,,,,,,,18/05/2012
,864,145343,,FK 15/25 NERO TUBO FLEX MEDIO,0,0,0,0,0,N.,"0,13",0,0,0,"0,13",,30,"0,169",22,COMET,,,0,,0,,,S,,,,,,,,,,,16/06/2011
,4145,166928,,FK15/16 NERO TUBO FLEX MEDIO,0,0,0,0,0,N.,"0,138",0,0,0,"0,138",,30,"0,1794",22,COMET,,,0,,0,,,S,,,,,,,,,,,31/07/2012
,2868,330336,,FK15/20 AZZU TUBO FLEX MEDIO,0,0,0,0,0,N.,"0,071",0,0,0,"0,071",,30,"0,0923",22,COMET,,,0,,0,,,S,,,,,,,,,,,22/02/2012
,3560,147910,,FK15/20 NERO TUBO FLEX MEDIO,0,0,0,0,0,N.,"0,072",0,0,0,"0,072",,30,"0,0936",22,COMET,,,0,,0,,,S,,,,,,,,,,,16/05/2012
,3887,317542,,FK15/20 VERD TUBO FLEX MEDIO,0,0,0,0,0,N.,"0,072",0,0,0,"0,072",,30,"0,0936",22,COMET,,,0,,0,,,S,,,,,,,,,,,27/06/2012
,3888,330343,,FK15/25 AZZU TUBO FLEX MEDIO,0,0,0,0,0,N.,"0,13",0,0,0,"0,13",,30,"0,169",22,COMET,,,0,,0,,,S,,,,,,,,,,,27/06/2012
,3537,317559,,FK15/25 VERD TUBO FLEX MEDIO,0,0,0,0,0,N.,"0,13",0,0,0,"0,13",,30,"0,169",22,COMET,,,0,,0,,,S,,,,,,,,,,,14/05/2012
,5028,0736003020,,FLANGE INOX PIANE DN 20 PN16,0,0,0,0,0,N.,"4,5",0,0,0,"4,5",,30,"5,85",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,30/05/2013
,5027,0736003040,,FLANGE INOX PIANE DN 40 - PN16,0,0,0,0,0,N.,"11,3",0,0,0,"11,3",,30,"14,69",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,30/05/2013
,5026,0736003050,,FLANGE INOX PIANE DN 50 - PN 16,0,0,0,0,0,N.,15,0,0,0,15,,30,"19,5",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,30/05/2013
,4496,0736009250,,FLANGE PIANE PN 16 DN 250,0,0,0,0,0,N.,"38,07",0,0,0,"38,07",,30,"49,491",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,26/10/2012
,4555,0736008050,,FLANGE PIANE PN 16 DN50,0,0,0,0,0,N.,"6,5",0,0,0,"6,5",,30,"8,45",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,06/11/2012
,4554,0736008065,,FLANGE PIANE PN 16 DN65,0,0,0,0,0,N.,"7,94",0,0,0,"7,94",,30,"10,322",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,06/11/2012
,4564,0736009080,,FLANGE PIANE PN 16 DN80,0,0,0,0,0,N.,"9,27",0,0,0,"9,27",,30,"12,051",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,06/11/2012
,2438,7516.0.100,,FLANGIA ACC. PIANA PN16 DN100,0,0,0,0,0,N.,"11,11",0,0,0,"11,11",,30,"14,443",22,PICENUM PLAST SPA,,,0,,0,,,S,,,,,,,,,,,21/11/2011
,4203,47626 01115,,FLANGIA CIECA DN200,0,0,0,0,0,N.,"54,9",0,0,0,"54,9",,30,"71,37",22,TECNOCLIMA SRL,,,0,,0,,,S,,,,,,,,,,,10/08/2012
,5648,6887369,,FLANGIA CIECA DN25 PN16/40,0,0,0,0,0,N.,"2,78",0,0,0,"2,78",,30,"3,614",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,08/11/2013
,5139,,,FLANGIA CIECA NERA DN 80,0,0,0,0,0,N.,9,0,0,0,9,,30,"11,7",22,MALAVOLTA SPA,,,0,,0,,,S,,,,,,,,,,,16/07/2013
,5657,7062101,,FLANGIA CIECA PN16 DN80,0,0,0,0,0,N.,"9,56",0,0,0,"9,56",,30,"12,428",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,11/11/2013
